 VARIABLE = X , Y , U , V
 ZONE , I=         101 , J=         101
   9.99999978E-03  0.560000002       1.0231690443100368E-004   6.4611276355768209E-003
   9.99999978E-03  0.569999993       1.1027486450402850E-004   6.2655603581572260E-003
   9.99999978E-03  0.579999983       1.1726321858985873E-004   6.0547816734558150E-003
   9.99999978E-03  0.589999974       1.2312379044431189E-004   5.8307656084085526E-003
   9.99999978E-03  0.600000024       1.2794388344185341E-004   5.5954923894906234E-003
   9.99999978E-03  0.610000014       1.3154132239037841E-004   5.3510493033400225E-003
   9.99999978E-03  0.620000005       1.3424049498606707E-004   5.0994001311997278E-003
   9.99999978E-03  0.629999995       1.3580307369203177E-004   4.8427140870239494E-003
   9.99999978E-03  0.639999986       1.3637792414367651E-004   4.5826287071334994E-003
   9.99999978E-03  0.649999976       1.3604047574764189E-004   4.3213904625641203E-003
   9.99999978E-03  0.660000026       1.3471034794519679E-004   4.0607499956353812E-003
   9.99999978E-03  0.670000017       1.3256158228269462E-004   3.8023400164304893E-003
   9.99999978E-03  0.680000007       1.2959132154887504E-004   3.5481206627418359E-003
   9.99999978E-03  0.689999998       1.2596621132313207E-004   3.2993281999228038E-003
   9.99999978E-03  0.699999988       1.2152040711081374E-004   3.0575650650834173E-003
   9.99999978E-03  0.709999979       1.1666242973084871E-004   2.8240264651877510E-003
   9.99999978E-03  0.720000029       1.1115552865842899E-004   2.5999584221607862E-003
   9.99999978E-03  0.730000019       1.0525750204674997E-004   2.3864032425480715E-003
   9.99999978E-03  0.740000010       9.8929073590122549E-005   2.1842134446616651E-003
   9.99999978E-03  0.750000000       9.2275820620509608E-005   1.9943071425653422E-003
   9.99999978E-03  0.759999990       8.5321460301006246E-005   1.8174204802443807E-003
   9.99999978E-03  0.769999981       7.8051651523006893E-005   1.6541203427670819E-003
   9.99999978E-03  0.779999971       7.0521620602144393E-005   1.5051323508922672E-003
   9.99999978E-03  0.790000021       6.2649706247321424E-005   1.3712056340334400E-003
   9.99999978E-03  0.800000012       5.4255339359012098E-005   1.2532350727307521E-003
   9.99999978E-03  0.810000002       4.5307658672795036E-005   1.1522817273153740E-003
   9.99999978E-03  0.819999993       3.5418613886717392E-005   1.0700680958184846E-003
   9.99999978E-03  0.829999983       2.4022895636249662E-005   1.0090841818324583E-003
   9.99999978E-03  0.839999974       1.0463452065528081E-005   9.7268226150745598E-004
   9.99999978E-03  0.850000024      -6.3721051570645222E-006   9.6627880927895829E-004
   9.99999978E-03  0.860000014      -2.8443675740371220E-005   9.9753588052129381E-004
   9.99999978E-03  0.870000005      -5.7186810386208047E-005   1.0775746151150966E-003
   9.99999978E-03  0.879999995      -9.7466580942601362E-005   1.2233363875421824E-003
   9.99999978E-03  0.889999986      -1.5413176114630080E-004   1.4546223703694600E-003
   9.99999978E-03  0.899999976      -2.2637626080171952E-004   1.8084562976294130E-003
   9.99999978E-03  0.910000026      -3.5060599944089320E-004   2.3266485042297389E-003
   9.99999978E-03  0.920000017      -4.8638397114932281E-004   3.0521965781636186E-003
   9.99999978E-03  0.930000007      -7.4056352044947981E-004   4.1694190480716722E-003
